Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01194_141_20260102121807_91.13.BIN,35.53,02/01/2026 12:18
TG141_401001_67485_01195_141_20260102194638_91.13.BIN,83.91,02/01/2026 19:45
TG141_401002_66979_01599_141_20260102145956_91.13.BIN,24.21,02/01/2026 14:59
TG141_401002_66979_01600_141_20260102221254_91.13.BIN,77.97,02/01/2026 22:13
TG141_401003_67306_00441_141_20260102131850_91.13.BIN,20.50,02/01/2026 13:18
TG141_401003_67306_00442_141_20260102204157_91.13.BIN,20.79,02/01/2026 20:41
