Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01113_141_20251125121750_91.13.BIN,59.33,25/11/2025 12:19
TG141_401001_67485_01114_141_20251125194518_91.13.BIN,99.77,25/11/2025 19:45
TG141_401002_66979_01533_141_20251125145844_91.13.BIN,38.27,25/11/2025 14:59
TG141_401002_66979_01534_141_20251125221806_91.13.BIN,94.95,25/11/2025 22:18
TG141_401003_67306_00377_141_20251125131632_91.13.BIN,21.70,25/11/2025 13:17
TG141_401003_67306_00378_141_20251125204011_91.13.BIN,16.04,25/11/2025 20:40
