Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01207_141_20260108045609_91.13.BIN,3.30,08/01/2026 12:21
TG141_401001_67485_01208_141_20260108122245_91.13.BIN,44.23,08/01/2026 12:21
TG141_401001_67485_01209_141_20260108195841_91.13.BIN,98.04,08/01/2026 20:00
TG141_401002_66979_01609_141_20260108145803_91.13.BIN,39.31,08/01/2026 14:57
TG141_401002_66979_01610_141_20260108221209_91.13.BIN,93.89,08/01/2026 22:12
TG141_401003_67306_00454_141_20260108131617_91.13.BIN,19.57,08/01/2026 13:15
TG141_401003_67306_00455_141_20260108204435_91.13.BIN,18.92,08/01/2026 20:45
