Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01084_141_20251111121643_91.13.BIN,57.09,11/11/2025 12:18
TG141_401001_67485_01085_141_20251111121801_91.13.BIN,1.10,11/11/2025 12:18
TG141_401001_67485_01086_141_20251111194516_91.13.BIN,121.29,11/11/2025 19:45
TG141_401002_66979_01511_141_20251111145926_91.13.BIN,46.24,11/11/2025 15:00
TG141_401002_66979_01512_141_20251111221232_91.13.BIN,121.47,11/11/2025 22:12
TG141_401003_67306_00357_141_20251111131616_91.13.BIN,20.79,11/11/2025 13:15
TG141_401003_67306_00358_141_20251111204010_91.13.BIN,19.60,11/11/2025 20:39
