Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01242_141_20260124045617_91.13.BIN,4.29,24/01/2026 12:26
TG141_401001_67485_01243_141_20260124122539_91.13.BIN,47.87,24/01/2026 12:26
TG141_401001_67485_01244_141_20260124195448_91.13.BIN,59.84,24/01/2026 19:55
TG141_401002_66979_01638_141_20260124145921_91.13.BIN,36.27,24/01/2026 15:00
TG141_401002_66979_01639_141_20260124220209_91.13.BIN,44.26,24/01/2026 22:01
TG141_401003_67306_00483_141_20260124131744_91.13.BIN,17.14,24/01/2026 13:17
TG141_401003_67306_00484_141_20260124204057_91.13.BIN,7.19,24/01/2026 20:41
