Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01351_141_20260328121857_91.13.BIN,45.44,28/03/2026 12:18
TG141_401001_67485_01352_141_20260328194541_91.13.BIN,63.90,28/03/2026 19:46
TG141_401002_66979_01728_141_20260328150517_91.13.BIN,45.53,28/03/2026 15:05
TG141_401002_66979_01729_141_20260328220210_91.13.BIN,48.31,28/03/2026 22:02
TG141_401003_67306_00572_141_20260328131524_91.13.BIN,11.80,28/03/2026 13:14
TG141_401003_67306_00573_141_20260328203628_91.13.BIN,10.12,28/03/2026 20:36
