Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01134_141_20251205121936_91.13.BIN,51.58,05/12/2025 12:19
TG141_401001_67485_01135_141_20251205122134_91.13.BIN,2.38,05/12/2025 19:44
TG141_401001_67485_01136_141_20251205194341_91.13.BIN,126.04,05/12/2025 19:45
TG141_401002_66979_01552_141_20251205150119_91.13.BIN,41.33,05/12/2025 15:02
TG141_401002_66979_01553_141_20251205222213_91.13.BIN,111.41,05/12/2025 22:22
TG141_401003_67306_00398_141_20251205131737_91.13.BIN,24.25,05/12/2025 13:17
TG141_401003_67306_00399_141_20251205204028_91.13.BIN,15.30,05/12/2025 20:40
