Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01279_141_20260218122155_91.13.BIN,20.44,18/02/2026 12:21
TG141_401001_67485_01280_141_20260218195631_91.13.BIN,75.76,18/02/2026 19:55
TG141_401002_66979_01663_141_20260218145951_91.13.BIN,24.27,18/02/2026 14:59
TG141_401002_66979_01664_141_20260218222042_91.13.BIN,69.28,18/02/2026 22:21
TG141_401003_67306_00506_141_20260218132121_91.13.BIN,17.79,18/02/2026 13:21
TG141_401003_67306_00507_141_20260218204222_91.13.BIN,13.92,18/02/2026 20:41
