Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01306_141_20260303121923_91.13.BIN,55.20,03/03/2026 12:18
TG141_401001_67485_01307_141_20260303200937_91.13.BIN,108.80,03/03/2026 20:11
TG141_401002_66979_01687_141_20260303145927_91.13.BIN,43.69,03/03/2026 14:59
TG141_401002_66979_01688_141_20260303221101_91.13.BIN,89.64,03/03/2026 22:11
TG141_401003_67306_00530_141_20260303060107_91.13.BIN,2.78,03/03/2026 06:00
TG141_401003_67306_00531_141_20260303131826_91.13.BIN,20.03,03/03/2026 13:18
TG141_401003_67306_00532_141_20260303204045_91.13.BIN,15.93,03/03/2026 20:42
