Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01335_141_20260321122550_91.13.BIN,33.16,21/03/2026 12:26
TG141_401001_67485_01336_141_20260321195517_91.13.BIN,63.29,21/03/2026 19:54
TG141_401002_66979_01714_141_20260321145747_91.13.BIN,33.91,21/03/2026 14:59
TG141_401002_66979_01715_141_20260321222031_91.13.BIN,41.79,21/03/2026 22:20
TG141_401003_67306_00559_141_20260321131722_91.13.BIN,14.34,21/03/2026 13:17
TG141_401003_67306_00560_141_20260321203227_91.13.BIN,9.38,21/03/2026 20:32
TG141_401003_67306_00561_141_20260321203445_91.13.BIN,2.21,21/03/2026 20:34
