Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01077_141_20251108122019_91.13.BIN,44.46,08/11/2025 12:20
TG141_401001_67485_01078_141_20251108122222_91.13.BIN,2.54,08/11/2025 12:20
TG141_401001_67485_01079_141_20251108194154_91.13.BIN,71.31,08/11/2025 19:42
TG141_401002_66979_01506_141_20251108150529_91.13.BIN,32.33,08/11/2025 15:05
TG141_401002_66979_01507_141_20251108221556_91.13.BIN,54.50,08/11/2025 22:16
TG141_401003_67306_00353_141_20251108131610_91.13.BIN,15.37,08/11/2025 13:17
TG141_401003_67306_00354_141_20251108204512_91.13.BIN,7.73,08/11/2025 20:46
