Arquivo,Tamanho (KB),Data Modificação
TG141_401001_67485_01204_141_20260107045619_91.13.BIN,3.10,07/01/2026 04:56
TG141_401001_67485_01205_141_20260107121941_91.13.BIN,44.02,07/01/2026 12:20
TG141_401001_67485_01206_141_20260107195442_91.13.BIN,107.75,07/01/2026 19:55
TG141_401002_66979_01607_141_20260107150122_91.13.BIN,47.43,07/01/2026 15:00
TG141_401002_66979_01608_141_20260107222117_91.13.BIN,95.71,07/01/2026 22:21
TG141_401003_67306_00452_141_20260107131634_91.13.BIN,20.58,07/01/2026 13:17
TG141_401003_67306_00453_141_20260107204125_91.13.BIN,16.28,07/01/2026 20:41
